filename	read_id	run_id	batch_id	channel	mux	start_time	duration	minknow_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
PAO92523_pass_71307b67_e3e0455f_199.pod5	4f005a2c-b4e0-4eb8-8aee-afd06db74214	e3e0455f7da9f1a836287fc130ffc62591587f55	0	180	2	4726.999400	1.470200	934	TRUE	4726.999400	1225	1.470200	650	10.305642	3.107550	101.141182	18.189659	101.141182	18.189659
PAO92523_pass_71307b67_e3e0455f_199.pod5	310c3d95-d9a5-4feb-aed4-78aecc5d02e3	e3e0455f7da9f1a836287fc130ffc62591587f55	0	180	2	4724.446600	2.070000	1296	TRUE	4724.446600	1725	2.070000	819	8.033383	2.885623	98.946854	18.791523	98.946854	18.791523
PAO92523_pass_71307b67_e3e0455f_199.pod5	8515ead1-78f3-4f24-a12d-e1a8e5a483ea	e3e0455f7da9f1a836287fc130ffc62591587f55	0	177	3	4727.197400	1.318600	865	TRUE	4727.197400	1098	1.318600	566	9.377918	3.078440	95.886391	19.861502	95.886391	19.861502
PAO92523_pass_71307b67_e3e0455f_199.pod5	64599854-7784-4815-b809-e2c2ea6ffd6b	e3e0455f7da9f1a836287fc130ffc62591587f55	0	253	3	4730.095000	2.053200	1206	TRUE	4730.095000	1711	2.053200	750	11.679945	2.958800	104.738541	20.128998	104.738541	20.128998
PAO92523_pass_71307b67_e3e0455f_199.pod5	87214e7c-170e-448b-a64a-393e662158cd	e3e0455f7da9f1a836287fc130ffc62591587f55	0	431	2	4729.094400	2.171200	1296	TRUE	4729.094400	1809	2.171200	800	11.314620	2.920720	99.124573	19.660881	99.124573	19.660881
PAO92523_pass_71307b67_e3e0455f_199.pod5	55f884d3-f0b0-4934-b497-a5bca1d1aa7c	e3e0455f7da9f1a836287fc130ffc62591587f55	0	105	4	4732.839000	1.617400	1005	TRUE	4732.839000	1347	1.617400	617	11.703979	2.999991	97.128525	20.663988	97.128525	20.663988
PAO92523_pass_71307b67_e3e0455f_199.pod5	63c78780-5c3b-444b-9831-a144e4120c92	e3e0455f7da9f1a836287fc130ffc62591587f55	0	110	2	4729.881200	2.267000	1553	TRUE	4729.881200	1889	2.267000	1055	9.167849	3.124063	98.011505	19.727755	98.011505	19.727755
PAO92523_pass_71307b67_e3e0455f_199.pod5	70ebda9d-6c59-46dd-b883-ba0ad463bd94	e3e0455f7da9f1a836287fc130ffc62591587f55	0	113	2	4730.333200	1.481600	824	FALSE	4730.358400	1213	1.456400	383	5.413538	2.458893	111.650764	11.101042	111.650764	11.101042
PAO92523_pass_71307b67_e3e0455f_199.pod5	1a57b6fc-7665-4115-aef6-f60cb22e58b5	e3e0455f7da9f1a836287fc130ffc62591587f55	0	293	1	4729.936400	2.211800	1427	TRUE	4729.936400	1843	2.211800	957	10.981403	3.138491	104.865746	17.855289	104.865746	17.855289
PAO92523_pass_71307b67_e3e0455f_199.pod5	e5d686aa-0b7c-48bf-9ce9-b9956051aa23	e3e0455f7da9f1a836287fc130ffc62591587f55	0	293	1	4732.541600	4.005800	2322	TRUE	4732.541600	3338	4.005800	998	9.608508	2.668436	99.809242	17.387173	99.809242	17.387173
PAO92523_pass_71307b67_e3e0455f_199.pod5	a7945254-3db8-47f0-b241-7436d06c85d0	e3e0455f7da9f1a836287fc130ffc62591587f55	0	294	4	4731.167600	1.721000	1002	TRUE	4731.167600	1434	1.721000	592	10.031709	2.815444	100.452766	20.329618	100.452766	20.329618
PAO92523_pass_71307b67_e3e0455f_199.pod5	941fc1ab-c1bd-4816-bd89-d1096a4aa614	e3e0455f7da9f1a836287fc130ffc62591587f55	0	15	4	4728.765600	2.726400	1743	TRUE	4728.956400	2113	2.535600	1049	8.553818	3.068628	105.739357	15.380961	105.739357	15.380961
PAO92523_pass_71307b67_e3e0455f_199.pod5	28ea5986-9335-4ec4-85c2-3bc0d2482c46	e3e0455f7da9f1a836287fc130ffc62591587f55	0	297	4	4731.601200	0.844000	521	TRUE	4731.601200	703	0.844000	296	10.290578	2.843292	98.862671	19.660881	98.862671	19.660881
